Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Ahar Foods and Fats Private Limited,Long Term Bank Facilities,IVR BB (Reaffirmed and Withdrawn),Stable,Rs. 39.62 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-aharfoods-12sep25.pdf
Ahar Foods and Fats Private Limited,Short Term Bank Facilities,IVR A4 (Reaffirmed and Withdrawn),Nil,Rs. 12.88 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-aharfoods-12sep25.pdf
Ankur Biochem Private Limited,Long Term Bank Facilities,IVR BBB+ (Upgraded and Withdrawn),Stable,Rs. 413.08 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-ankur-biochem-12sept25.pdf
Ankur Biochem Private Limited,Long Term/ Short Term Bank Facilities,IVR BBB+/IVR A2; (Upgraded and Withdrawn),Stable/-,Rs. 30.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-ankur-biochem-12sept25.pdf
Bhairaveshwara Cool Point Private Limited,Long Term Bank Facilities - LRD Facility,IVR D (Downgraded),Nil,Rs. 44.46 Cr. (Reduced from Rs. 46.00 Crore),"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-bhairaveshwara-cool-12sep25.pdf
BLN Infra Private Limited,Long Term Bank Facilities,IVR BB- (Assigned),Stable,Rs. 19.72 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-BLN-infra-12sep25.pdf
BLN Infra Private Limited,Short Term Bank Facilities,IVR A4 (Assigned),Nil,Rs. 3.26 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-BLN-infra-12sep25.pdf
IGREL Mahidad Limited,Long Term Bank Facilities,IVR A- (Assigned),Stable,Rs. 125.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-IGREL-mahidad-12sep25.pdf
IGREL Mahidad Limited,Long Term Bank Facilities - Proposed,IVR A- (Assigned),Stable,Rs. 35.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-IGREL-mahidad-12sep25.pdf
Jijau Constructions Road Builder Private Limited,Long Term Bank Facilities,IVR BBB- (Upgraded),Stable,Rs. 12.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-jijau-constructions-12sep25.pdf
Jijau Constructions Road Builder Private Limited,Short Term Bank Facility,IVR A3 (Upgraded),Nil,Rs. 58.00 Cr. (includes proposed limit of Rs. 30.90 Crore),"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-jijau-constructions-12sep25.pdf
Lahoty Buildcon Limited,Long Term Bank Facilities,IVR BBB- (Downgraded),Stable,Rs. 21.05 Cr. (Reduced from Rs. 21.65 Crore),"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-lahoty-buildcon-12sep25.pdf
Lahoty Buildcon Limited,Short Term Bank Facilities,IVR A3 (Downgraded),Nil,Rs. 210.50 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-lahoty-buildcon-12sep25.pdf
Magadh Metal Industries Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 150.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-magadh-metal-12sep25.pdf
Ornate Mercantile Private Limited,Long Term Bank Facility,IVR BBB- (Reaffirmed),Stable,Rs. 30.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-ornate-mercantile-12sep25.pdf
Ornate Mercantile Private Limited,Short Term Bank Facility,IVR A3 (Reaffirmed),Nil,Rs. 10.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-ornate-mercantile-12sep25.pdf
SA Trading Company,Long Term Bank Facilities,IVR BB- (Reaffirmed),Stable,Rs. 19.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-SA-Trading-12sep25.pdf
Cool Caps Industries Limited,Long Term Bank Facilities,IVR BBB- (Upgraded),Stable,Rs. 55.86 Cr. (Reduced from Rs. 59.24 Crore),"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-cool-caps-11sep25.pdf
Cool Caps Industries Limited,Short Term Bank Facilities,IVR A3 (Upgraded),Nil,Rs. 12.58 Cr. (Enhanced from Rs. 9.20 Crore),"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-cool-caps-11sep25.pdf
Heavy Metal and Tubes (India) Private Limited,Long Term Bank Facilities - Term Loan,IVR BBB- (Reaffirmed),Stable,Rs. 64.91 Cr. (Enhanced from Rs. 60.76 Cr.),"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-heavymetal-tubes-11sep25.pdf
Heavy Metal and Tubes (India) Private Limited,Long Term Bank Facilities - Cash Credit,IVR BBB- (Reaffirmed),Stable,Rs. 65.00 Cr. (Enhanced from Rs. 40.00 Cr.),"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-heavymetal-tubes-11sep25.pdf
Heavy Metal and Tubes (India) Private Limited,Long Term Bank Facilities - Line of Credit,Withdrawn,Nil,0.00 (Previously Rs. 10.00 Cr.),"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-heavymetal-tubes-11sep25.pdf
Heavy Metal and Tubes (India) Private Limited,Short Term Bank Facilities - Bank Guarantee,IVR A3 (Reaffirmed),Nil,Rs. 5.00 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-heavymetal-tubes-11sep25.pdf
Heavy Metal and Tubes (India) Private Limited,Short Term Bank Facilities - Purchase Invoice Discounting,IVR A3 (Assigned),Nil,Rs. 5.00 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-heavymetal-tubes-11sep25.pdf
Indospun Yarn Private Limited,Long Term Facilities,IVR BB (Assigned),Stable,Rs. 88.80 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-indospun-yarn-11sep25.pdf
Indospun Yarn Private Limited,Short Term Facilities,IVR A4 (Assigned),Nil,Rs. 5.00 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-indospun-yarn-11sep25.pdf
Jindal Worldwide Limited,Long Term Bank Facilities,IVR A (Reaffirmed),Stable,Rs. 311.03 Cr. (Reduced from Rs. 360.45 Crore),"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-jindal-worldwide-11sep25.pdf
Jindal Worldwide Limited,Short Term Bank Facilities,IVR A1 (Reaffirmed),Nil,Rs. 159.00 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-jindal-worldwide-11sep25.pdf
Kanaiya Exports Private Limited,Long Term Bank Facilities,IVR BB- (Assigned),Stable,Rs. 10.28 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-kanaiya-exports-11sep25.pdf
Kanaiya Exports Private Limited,Short Term Bank Facilities,IVR A4 (Assigned),Nil,Rs. 28.00 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-kanaiya-exports-11sep25.pdf
Lekh Raj Autoplaza Private Limited,Long Term Bank Facilities,IVR BB+ (Upgraded),Stable,Rs. 15.70 Cr. (Reduced from Rs. 16.31 Cr.),"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-lekhraj-autoplaza-11sep25.pdf
Lekh Raj Autoplaza Private Limited,Short Term Bank Facilities,IVR A4+ (Upgraded),Nil,Rs. 57.75 Cr. (Enhanced from Rs. 41.25 Cr.),"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-lekhraj-autoplaza-11sep25.pdf
Mocha 08 2025 (Originator: Aristo Securities Private Limited),Long Term - Series A1 PTCs,Provisional IVR A- (SO)(Assigned),Stable,Rs. 13.18 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-mocha-aristo-11sep25.pdf
Shaligram Space LLP,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 92.90 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-shaligram-space-11sep25.pdf
Shaligram Space LLP,Proposed Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 120.00 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-shaligram-space-11sep25.pdf
Sumatichand Gouti Jewellers Private Limited,Long Term Facilities,IVR D (INC)(Downgraded),Nil,Rs. 382.00 Cr.,"Sep 11, 2025",https://www.infomerics.com/admin/uploads/pr-sumatichand-gouti-11sep25.pdf
Centrum Wealth Limited,Proposed Non-Convertible Debentures (NCDs),IVR BBB+ (Assigned),Stable,Rs. 25.00 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-centrum-wealth-10sep25.pdf
Columbus Premier Shoes Private Limited,Long Term Bank Facilities,IVR BB- (Reaffirmed),Stable,Rs. 26.21 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-columbus-premiershoes-10sep25.pdf
Hariom Communication LLP,Long Term Bank Facility,IVR BBB- (Reaffirmed),Stable,Rs. 45.00 Cr. (Enhanced from Rs. 10.00 Crore),"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-hariom-communication-10sep25.pdf
HMP Buildcon Private Limited,Long Term Bank Facilities - Term Loan,IVR BBB- (Reaffirmed),Stable,Rs. 75.00 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-HMP-buildcon-10sep25.pdf
Purv Flexipack Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 86.15 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-purv-flexipack-10sep25.pdf
Purv Flexipack Limited,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 10.50 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-purv-flexipack-10sep25.pdf
RamJi Das Dhal Construction Private Limited,Long Term Bank Facility,IVR B+ (INC)(Downgraded),Negative,Rs. 5.00 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-RamJiDasDhal-10sep25.pdf
RamJi Das Dhal Construction Private Limited,Short Term Bank Facility,IVR A4 (INC)(Reaffirmed),Nil,Rs. 45.00 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-RamJiDasDhal-10sep25.pdf
SEPC Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 85.56 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-SEPC-10sep25.pdf
SEPC Limited,Proposed Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 2.65 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-SEPC-10sep25.pdf
SEPC Limited,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 723.35 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-SEPC-10sep25.pdf
SEPC Limited,Proposed Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 70.94 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-SEPC-10sep25.pdf
Shivom Trexim Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 50.00 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-shivom-trexim-10sep25.pdf
Sorigin RE Services Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),Stable,Rs. 35.00 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-sorigin-reservices-10sep25.pdf
Sorigin RE Services Private Limited,Short Term Bank Facilities,IVR A3+ (Assigned),Nil,Rs. 15.00 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-sorigin-reservices-10sep25.pdf
Sorigin RE Services Private Limited,Proposed Long Term Bank Facilities,IVR BBB (Assigned),Stable,Rs. 50.00 Cr.,"Sep 10, 2025",https://www.infomerics.com/admin/uploads/pr-sorigin-reservices-10sep25.pdf
Alankar Alloys Private Limited,Long Term Bank Facilities,IVR BBB (INC)(Downgraded),Negative,Rs. 64.90 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-alankar-alloys-9sep25.pdf
Alankar Alloys Private Limited,Short Term Bank Facilities (Proposed),IVR A3+ (INC)(Downgraded),Nil,Rs. 1.10 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-alankar-alloys-9sep25.pdf
Annapoorani Textiles Private Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),Stable,Rs. 97.50 Cr. (Reduced from Rs. 100.27 Crore),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-annapoorani-textiles-9sep25.pdf
Annapoorani Textiles Private Limited,Short Term Bank Facilities,IVR A3+ (Reaffirmed),Nil,Rs. 25.00 Cr. (Enhanced from Rs. 20.00 Crore),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-annapoorani-textiles-9sep25.pdf
Asian Hotels (North) Limited,Long Term Facilities,IVR D (Assigned),Nil,Rs. 685.05 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-asian-hotels-9sep25.pdf
BR Steel & Power Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 115.35 Cr. (enhanced from Rs. 107.23 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-BRSteel-Power-9sep25.pdf
Capital India Finance Limited,Fund Based Long Term Loans - Term Loans,IVR A (Reaffirmed),Stable,Rs. 531.78 Cr. (Reduced from Rs. 580.34 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capital-india-9sep25.pdf
Capital India Finance Limited,Fund Based Long Term Loans - Proposed Term Loans,IVR A (Reaffirmed),Stable,Rs. 343.22 Cr. (Increased from Rs. 294.66 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capital-india-9sep25.pdf
Capital India Finance Limited,Fund Based Working Capital Facilities - Cash Credit,IVR A (Reaffirmed),Stable,Rs. 25.00 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capital-india-9sep25.pdf
Capital India Finance Limited,Non-Convertible Debentures (NCDs) - INE345H07054,IVR A (Reaffirmed),Stable,Rs. 50.00 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capital-india-9sep25.pdf
Capital India Finance Limited,Proposed Non-Convertible Debentures (NCDs),IVR A (Reaffirmed),Stable,Rs. 50.00 Cr. (Reduced from Rs. 100.00 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capital-india-9sep25.pdf
