Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Acute retail Infra Private Limited,Long Term Bank Facilities - Term Loan,IVR D (ISSUER NOT COOPERATING),Nil,Rs. 60.11 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-acute-retail-10oct25.pdf
Advanced Computers & Mobiles India Private Limited,Long Term Fund Based Facility - Cash Credit,IVR D (ISSUER NOT COOPERATING),Nil,Rs. 125.50 Cr. (including proposed limit of INR Rs. 29.50 crore),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-advancedcomputers-10Oct25.pdf
Advanced Computers & Mobiles India Private Limited,Long Term Fund Based Facility - Term Loan,IVR D (ISSUER NOT COOPERATING),Nil,Rs. 46.00 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-advancedcomputers-10Oct25.pdf
Advanced Computers & Mobiles India Private Limited,Short Term Fund Based Facility - Bill Discounting,IVR D ISSUER NOT COOPERATING,Nil,Rs. 18.50 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-advancedcomputers-10Oct25.pdf
Advanced Computers & Mobiles India Private Limited,Short Term Non-Fund Based Facility - LC,IVR D (ISSUER NOT COOPERATING),Nil,Rs. 10.00 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-advancedcomputers-10Oct25.pdf
Chandanpani Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Positive,Rs. 35.44 Cr. (Enhanced From Rs. 32.50 Crore),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-ChandanpaniLtd10Oct25.pdf
Chandanpani Limited,Short Term Bank Facilities,IVR A3 (Reaffirmed),Nil,Rs. 2.50 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-ChandanpaniLtd10Oct25.pdf
Grover Zampa Vineyards Limited,Long Term Bank Facilities,IVR B+ (Reaffirmed),Positive,Rs. 32.55 Cr. (enhanced from Rs. 28.45 Cr.),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-grover-zampa-10oct25.pdf
Grover Zampa Vineyards Limited,Short Term Bank Facilities,IVR A4 (Reaffirmed),Nil,Rs. 1.25 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-grover-zampa-10oct25.pdf
Grover Zampa Vineyards Limited,Proposed Short Term Bank Facilities,IVR A4 (Reaffirmed),Nil,Rs. 6.20 Cr. (reduced from Rs. 6.30 Cr.),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-grover-zampa-10oct25.pdf
Innovana Thinklabs Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 2.60 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-Innovana-10Oct25.pdf
Innovana Thinklabs Limited,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 8.40 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-Innovana-10Oct25.pdf
Innovana Thinklabs Limited,Long Term/Short Term Facilities-Proposed,IVR BBB-/ IVR A3; (Assigned),Stable/-,Rs. 14.00 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-Innovana-10Oct25.pdf
Kings Infra Ventures Limited,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed),Negative,Rs. 10.40 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-KingsInfra-Ventures-10oct25.pdf
Kings Infra Ventures Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 3.00 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-KingsInfra-Ventures-10oct25.pdf
Kings Infra Ventures Limited,Non-Convertible Debentures,IVR B+ (INC)(Reaffirmed),Negative,Rs. 3.71 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-KingsInfra-Ventures-10oct25.pdf
New Unicon Infraventures LLP,Long Term Bank Facilities,Withdrawn,Nil,Nil (Previous rated amount Rs. 92.66 Crore),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-new-unicon-10oct25.pdf
Patran Foods Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 51.95 Cr. (Reduced from Rs. 52.25 crore),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-PatranFPL10Oct25.pdf
Patran Foods Private Limited,Short Term Bank Facilities,IVR A3 (Reaffirmed),Nil,Rs. 30.00 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-PatranFPL10Oct25.pdf
Radhakishan Tollways Private Limited,Long Term Bank Facility,IVR BB,Positive,Rs. 79.50 Cr. (Reduced from Rs. 82.00 crore),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-Radhakishan-10Oct25.pdf
Radhakishan Tollways Private Limited,Long Term/Short Term Bank Facility,IVR BB / IVR A4 ;,Positive/-,Rs. 7.50 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-Radhakishan-10Oct25.pdf
Raj Corporation Limited,Long Term Bank Facilities,IVR A- (Reaffirmed),Stable,Rs. 325.00 Cr. (Increased from Rs. 254.00 Crore),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-raj-corporation-10oct25.pdf
Raj Corporation Limited,Short Term Bank Facilities,IVR A2+ (Reaffirmed),Nil,Rs. 261.00 Cr. (Reduced from Rs. 282.00 Crore),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-raj-corporation-10oct25.pdf
Ramseen Raniwara Highways Private Limited,Long Term Bank Facility,IVR BB,Positive,Rs. 72.50 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-Ramseenrani-10Oct25.pdf
Ramseen Raniwara Highways Private Limited,Long Term/Short Term Bank Facility,IVR BB / IVR A4;,Positive/-,Rs. 12.50 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-Ramseenrani-10Oct25.pdf
Regal Trading Private Limited,Long Term Bank Facilities,BBB- (Upgraded),Stable,Rs. 20.36 Cr. (Enhanced from Rs.16.72 Cr.),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-RegalTrad10Oct25.pdf
Regal Trading Private Limited,Long Term/Short Term Bank Facilities-Proposed,IVR BBB- / IVR A3; (Upgraded),Stable/-,Rs. 0.64 Cr. (Reduced from Rs. 3.28 Cr.),"Oct 10, 2025",https://www.infomerics.com/admin/uploads/PR-RegalTrad10Oct25.pdf
Shivam Automovers Private Limited,Long Term Bank Facility,IVR BBB- (Assigned),Stable,Rs. 5.00 Cr.,"Oct 10, 2025",https://www.infomerics.com/admin/uploads/pr-shivam-automovers-10oct25.pdf
