Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Agrawal Infrabuild Private Limited,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),Stable,Rs. 42.19 Cr.,"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-Agrawal-Infrabuild-14nov2024.pdf
Agrawal Infrabuild Private Limited,Short Term Bank Facilities,IVR A2 (Reaffirmed),Nil,Rs. 130.00 Cr.,"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-Agrawal-Infrabuild-14nov2024.pdf
Astron Paper & Board Mill Limited,Long Term Bank Facilities,IVR D (Downgraded),Nil,Rs. 62.00 Cr.,"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-Astron-Paper-14nov24.pdf
Astron Paper & Board Mill Limited,Short Term Bank Facilities,IVR D (Downgraded),Nil,Rs. 65.00 Cr.,"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-Astron-Paper-14nov24.pdf
Chanakya Dairy Products Private Limited,Long Term Bank Instruments,IVR BBB (Reaffirmed),Stable,Rs. 151.97 Cr. (reduced from Rs. 194.69 Crore),"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-Chanakya-DairyProducts-14nv24.pdf
Eastern India Biofuels Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 129.33 Cr. (enhanced from Rs. 125.75. Cr),"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-Eastern-India-14nov24.pdf
Eastern India Biofuels Private Limited,Short Term Bank Facilities,IVR A3 (Reaffirmed),Nil,Rs. 8.00 Cr. (enhanced from Rs. 6.00 Cr.),"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-Eastern-India-14nov24.pdf
Globe Civil Projects Limited (Erstwhile Globe Civil Projects Private Limited,Long Term Bank Facilities,IVR BBB (Upgraded),Stable,Rs. 26.00 Cr. (enhanced from Rs. 16.00 crore) (including proposed limit of Rs. 10.00 crore),"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-Globe-CivilProjects-14nov24.pdf
Globe Civil Projects Limited (Erstwhile Globe Civil Projects Private Limited,Short Term Bank Facilities,IVR A3+ (Upgraded),Nil,Rs. 84.00 Cr. (reduced from Rs. 94.00 crore) (including proposed limit of Rs. 11.00 crore),"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-Globe-CivilProjects-14nov24.pdf
HMT Finance Private Limited,Long Term Bank Facilities,IVR BB (Assigned),Stable,Rs. 32.29 Cr.,"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-HMT-Finance-14nov24.pdf
HMT Finance Private Limited,Proposed Long Term Bank Facilities,IVR BB (Assigned),Stable,Rs. 7.71 Cr.,"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-HMT-Finance-14nov24.pdf
KKP Textiles Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Positive,Rs. 105.00 Cr.,"Nov 14, 2024",https://www.infomerics.com/admin/uploads/pr-KKP-Textiles-14nov24.pdf
