Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL,source_file
Atvantic Finechem Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),Stable,Rs. 168.65 Cr.,"Oct 15, 2024",https://www.infomerics.com/admin/uploads/Pr-Atvantic-Finechem-15oct24.pdf,infomerics_2024-10-01_2024-10-15.csv
Atvantic Finechem Private Limited,Short Term Bank Facilities,IVR A3+ (Assigned),Nil,Rs. 16.00 Cr.,"Oct 15, 2024",https://www.infomerics.com/admin/uploads/Pr-Atvantic-Finechem-15oct24.pdf,infomerics_2024-10-01_2024-10-15.csv
Findoc Investmart Private Limited,Long Term Bank Facilities,IVR BBB+,Rating Watch with Developing Implications,Rs. 125.00 Cr. (Enhanced from Rs.85.00 Cr.),"Oct 15, 2024",https://www.infomerics.com/admin/uploads/pr-Findoc-Investmart-15oct24.pdf,infomerics_2024-10-01_2024-10-15.csv
Findoc Investmart Private Limited,Short Term Bank Facilities,IVR A2,Rating Watch with Developing Implications,Rs. 310.00 Cr. (Enhanced from Rs.140.00 Cr.),"Oct 15, 2024",https://www.infomerics.com/admin/uploads/pr-Findoc-Investmart-15oct24.pdf,infomerics_2024-10-01_2024-10-15.csv
Findoc Investmart Private Limited,Short Term Bank Facilities (Proposed),IVR A2,Rating Watch with Developing Implications,Rs. 75.00 Cr.,"Oct 15, 2024",https://www.infomerics.com/admin/uploads/pr-Findoc-Investmart-15oct24.pdf,infomerics_2024-10-01_2024-10-15.csv
Finwizard Technology Private Limited,Short Term Facilities - Commercial Paper,IVR A4+ (Downgraded),Rating Watch with Developing Implications,Rs. 20.00 Cr.,"Oct 15, 2024",https://www.infomerics.com/admin/uploads/pr-Finwizard-Technology-15oct24.pdf,infomerics_2024-10-01_2024-10-15.csv
India Home Loans Limited,Long Term Fund Based Bank Facilities - Term Loan,IVR D (INC)(Reaffirmed),Nil,Rs. 46.97 Cr.,"Oct 15, 2024",https://www.infomerics.com/admin/uploads/Rev-pr-IndiaHomeLoan-15oct24.pdf,infomerics_2024-10-01_2024-10-15.csv
India Home Loans Limited,Non-Convertible Debenture,IVR D (INC)(Reaffirmed),Nil,Rs. 18.45 Cr.,"Oct 15, 2024",https://www.infomerics.com/admin/uploads/Rev-pr-IndiaHomeLoan-15oct24.pdf,infomerics_2024-10-01_2024-10-15.csv
Jainam Broking Limited (Erstwhile Jainam Share Consultants Private Limited),Proposed Non-Convertible Debentures (NCDs),IVR A-,Rating Watch with Developing Implications,Rs. 1000.00 Cr.,"Oct 15, 2024",https://www.infomerics.com/admin/uploads/pr-Jainam-Broking-15oct24.pdf,infomerics_2024-10-01_2024-10-15.csv
Marwadi Chandarana Intermediaries Brokers Private Limited,Non-Fund Based Long Term/Short Term Bank Facilities - Bank Guarantee,IVR BBB/ IVR A3+,Rating Watch with Developing Implications,Rs. 140.00 Cr.,"Oct 15, 2024",https://www.infomerics.com/admin/uploads/Pr-Marwadi-Chandarana-15oct24.pdf,infomerics_2024-10-01_2024-10-15.csv
